rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
199,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,2,2,2
198,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
197,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,2,2,2
196,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
195,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
194,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,5,18,5
193,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,2,2,2
192,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,3,3,3
191,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,4,4,4
190,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
189,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,2,2,2
188,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
187,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
186,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,2,2,2
185,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,24,6,-1
184,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,3,3,4
183,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,2,4,2
182,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,4,4,4
181,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
180,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
179,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,4,4,4
178,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
177,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,4,-1,4
176,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
175,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
174,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,3,3,3
173,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,3,3,3
172,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
171,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
170,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,7,3,3
169,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
168,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
167,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,-1,-1,-1
166,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
165,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
164,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,5,5,5
163,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
162,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
161,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,5,5,6
160,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
159,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,7,7,-1
158,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,7,7,-1
157,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,-1,-1,-1
156,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,8,10,8
155,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,2,2,2
154,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,3,3,3
153,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
152,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,3,3,10
151,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,7,3,3
150,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,3,3,-1
149,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,5,4,5
148,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
147,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,-1,-1,-1
146,25,56,graphml/AttMpls.graphml,4,14,42,random,-1,-1,-1,-1
145,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,4,4,4
144,25,56,graphml/AttMpls.graphml,5,14,56,random,-1,-1,-1,-1
143,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,4,4,4
142,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,6,8,6
141,25,56,graphml/AttMpls.graphml,2,14,14,random,-1,-1,-1,-1
140,25,56,graphml/AttMpls.graphml,3,14,28,random,-1,-1,-1,-1
