rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
98,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,5,5,5
97,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
96,93,103,graphml/Oteglobe.graphml,3,24,48,random,-1,-1,-1,-1
95,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,5,5,5
94,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,7,-1,-1
93,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,2,2,2
92,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
91,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
90,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
89,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,5,5,5
88,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,8,8,8
87,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
86,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,11,11,11
85,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
84,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,9,9,9
83,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,12,12,12
82,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,7,7,7
81,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,10,10,10
80,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,9,9,9
79,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,3,3,3
78,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,9,-1,47
77,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
76,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,9,9,9
75,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,2,2,2
74,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,8,8,8
73,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,7,7,7
72,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
71,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
70,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,5,5,5
69,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
68,93,103,graphml/Oteglobe.graphml,3,24,48,random,-1,-1,-1,-1
67,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,19,17,19
66,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
65,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
64,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
63,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
62,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
61,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,2,2,2
60,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,5,5,5
59,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,6,6,6
58,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
57,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,6,6,6
56,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,7,7,7
55,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
54,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,3,3,3
53,93,103,graphml/Oteglobe.graphml,4,24,72,random,-1,-1,-1,-1
52,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,6,6,6
51,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
50,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,4,4,4
