Avg. Hops of Tree with Header,Avg. Hops of EDP with Header,Avg. Hops of MutipleTree,Resilience of Tree with Header,Resilience of EDP with Header,Resilience of Tree
2.685,2.68,2.92,1.0,1.0,1.0
2.75,2.75,3.02,1.0,1.0,1.0
2.975,2.935,3.29,1.0,1.0,1.0
3.306532663316583,3.4646464646464645,4.381909547738694,0.995,0.99,0.995
5.251336898395722,4.454545454545454,5.841530054644808,0.935,0.88,0.915
6.959302325581396,6.651898734177215,7.4939024390243905,0.86,0.79,0.82
8.171052631578947,6.968253968253968,7.173913043478261,0.38,0.315,0.345
6.222222222222222,4.333333333333333,5.142857142857143,0.09,0.045,0.07
4.285714285714286,4.857142857142857,4.857142857142857,0.035,0.035,0.035
