rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
199,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
198,93,103,graphml/Oteglobe.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
197,93,103,graphml/Oteglobe.graphml,4,,9,clustered,0.8;-0.3,-1,-1,-1
196,93,103,graphml/Oteglobe.graphml,3,,7,clustered,0.8;-0.3,-1,-1,-1
195,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.8;-0.3,9,9,9
194,93,103,graphml/Oteglobe.graphml,2,,18,clustered,0.8;-0.3,-1,-1,-1
193,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.8;-0.3,17,17,17
192,93,103,graphml/Oteglobe.graphml,1,,6,clustered,0.8;-0.3,-1,-1,-1
191,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
190,93,103,graphml/Oteglobe.graphml,2,,15,clustered,0.8;-0.3,-1,-1,-1
189,93,103,graphml/Oteglobe.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
188,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
187,93,103,graphml/Oteglobe.graphml,1,,10,clustered,0.8;-0.3,-1,-1,-1
186,93,103,graphml/Oteglobe.graphml,2,,5,clustered,0.8;-0.3,3,3,3
185,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.8;-0.3,4,4,4
184,93,103,graphml/Oteglobe.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
183,93,103,graphml/Oteglobe.graphml,2,,7,clustered,0.8;-0.3,10,10,10
182,93,103,graphml/Oteglobe.graphml,2,,19,clustered,0.8;-0.3,-1,-1,-1
181,93,103,graphml/Oteglobe.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
180,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.8;-0.3,3,3,3
179,93,103,graphml/Oteglobe.graphml,2,,11,clustered,0.8;-0.3,-1,-1,-1
178,93,103,graphml/Oteglobe.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
177,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.8;-0.3,6,6,6
176,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.8;-0.3,-1,-1,-1
175,93,103,graphml/Oteglobe.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
174,93,103,graphml/Oteglobe.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
173,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
172,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
171,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
170,93,103,graphml/Oteglobe.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
169,93,103,graphml/Oteglobe.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
168,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
167,93,103,graphml/Oteglobe.graphml,1,,6,clustered,0.8;-0.3,-1,-1,-1
166,93,103,graphml/Oteglobe.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
165,93,103,graphml/Oteglobe.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
164,93,103,graphml/Oteglobe.graphml,1,,4,clustered,0.8;-0.3,10,20,10
163,93,103,graphml/Oteglobe.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
162,93,103,graphml/Oteglobe.graphml,2,,21,clustered,0.8;-0.3,-1,-1,-1
161,93,103,graphml/Oteglobe.graphml,2,,15,clustered,0.8;-0.3,-1,-1,-1
160,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
159,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
