rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
40,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
39,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
38,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,6,6,6
37,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,10,10,10
36,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,9,9,9
35,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.5;-0.3,4,4,4
34,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,39,57,39
33,93,103,graphml/Oteglobe.graphml,3,,6,clustered,0.5;-0.3,2,2,2
32,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
31,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,7,21,7
30,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
29,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,49,22,49
28,93,103,graphml/Oteglobe.graphml,3,,3,clustered,0.5;-0.3,11,11,11
27,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.5;-0.3,16,31,16
26,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
25,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,8,8,8
24,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,7,7,7
23,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,11,11,11
22,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,4,4,4
21,93,103,graphml/Oteglobe.graphml,3,,6,clustered,0.5;-0.3,22,22,-1
20,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.5;-0.3,22,22,22
19,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,3,3,3
18,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
17,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,2,2,2
16,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
15,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,67,24,67
14,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
13,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,10,10,10
12,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,19,23,19
11,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,3,4,3
10,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
9,93,103,graphml/Oteglobe.graphml,3,,3,clustered,0.5;-0.3,-1,-1,-1
8,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,4,4,4
7,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,22,-1,22
6,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,8,24,8
5,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.5;-0.3,4,4,4
4,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,3,3,3
3,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,7,7,7
2,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,9,9,9
1,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,4,4,4
