rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,9,9,9
199,93,103,graphml/Oteglobe.graphml,3,,9,clustered,0.6;-0.3,-1,-1,-1
198,93,103,graphml/Oteglobe.graphml,2,,5,clustered,0.6;-0.3,-1,-1,-1
197,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.6;-0.3,7,7,7
196,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,3,3,3
195,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,41,-1,-1
194,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,5,10,5
193,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,-1,-1,-1
192,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,-1,-1,-1
191,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.6;-0.3,-1,-1,-1
190,93,103,graphml/Oteglobe.graphml,1,,6,clustered,0.6;-0.3,32,32,114
189,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,-1,-1,-1
188,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.6;-0.3,12,26,16
187,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.6;-0.3,18,28,18
186,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.6;-0.3,12,10,12
185,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.6;-0.3,14,14,14
184,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,-1,-1,-1
183,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,94,70,94
182,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.6;-0.3,11,25,11
181,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.6;-0.3,5,22,5
180,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.6;-0.3,-1,-1,-1
179,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.6;-0.3,4,4,4
178,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.6;-0.3,14,14,-1
177,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.6;-0.3,10,24,10
176,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,9,9,9
175,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,11,11,11
174,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,-1,-1,-1
173,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.6;-0.3,10,10,10
172,93,103,graphml/Oteglobe.graphml,1,,8,clustered,0.6;-0.3,-1,-1,-1
171,93,103,graphml/Oteglobe.graphml,3,,9,clustered,0.6;-0.3,2,2,2
170,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,5,5,5
169,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.6;-0.3,8,8,8
168,93,103,graphml/Oteglobe.graphml,3,,3,clustered,0.6;-0.3,4,4,4
167,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,32,24,68
166,93,103,graphml/Oteglobe.graphml,2,,8,clustered,0.6;-0.3,24,22,22
165,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.6;-0.3,-1,-1,-1
164,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.6;-0.3,-1,-1,-1
163,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.6;-0.3,-1,-1,-1
162,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,-1,-1,-1
161,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.6;-0.3,11,26,11
