rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,10,10,10
199,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
198,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,7,7,7
197,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,7,7,7
196,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,4,4,4
195,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,10,10,10
194,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,3,3,3
193,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,10,10,10
192,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
191,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,8,8,8
190,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,12,12,12
189,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,5,5,5
188,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,5,5,5
187,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,3,3,3
186,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,3,3,3
185,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,7,7,7
184,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
183,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,12,14,12
182,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
181,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,6,6,6
180,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
179,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,7,7,7
178,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,8,8,8
177,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,4,5,4
176,93,103,graphml/Oteglobe.graphml,3,,1,clustered,0.2;-0.3,2,3,2
175,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.2;-0.3,4,4,4
174,93,103,graphml/Oteglobe.graphml,3,,0,clustered,0.2;-0.3,5,5,5
173,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,3,3,3
172,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,5,5,5
171,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,4,4,4
170,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,7,7,7
169,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,8,8,8
168,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.2;-0.3,8,8,8
167,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,8,8,8
166,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,11,11,11
165,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,7,9,7
164,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,10,10,10
163,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,5,5,5
162,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,2,2,2
161,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,7,7,7
160,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,9,10,9
159,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,9,9,9
158,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,3,3,3
157,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,5,5,5
156,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,11,12,11
155,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.2;-0.3,8,8,8
154,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.2;-0.3,8,8,8
