rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,13,14,13
199,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,10,10,10
198,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,10,10,10
197,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,5,5,5
196,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,17,17,17
195,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,12,12,12
194,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.1;-0.3,4,8,4
193,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,13,13,13
192,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,8,8,8
191,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,16,16,16
190,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,14,14,14
189,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,10,11,10
188,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,8,8,8
187,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.1;-0.3,8,8,8
186,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,9,13,9
185,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,21,21,21
184,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,6,6,6
183,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,18,18,18
182,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.1;-0.3,10,12,10
181,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,11,12,11
180,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,15,15,15
179,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,13,13,13
178,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,17,17,17
177,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,15,15,15
176,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,2,6,2
175,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,4,4,4
174,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,4,4,4
173,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,11,11,11
172,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,12,12,12
171,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,7,7,7
170,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,16,16,16
169,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,9,9,9
168,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,9,9,9
167,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,8,8,8
166,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,6,6,6
165,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,19,20,19
164,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,13,13,13
163,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,11,11,11
162,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,5,5,5
161,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,9,9,9
160,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,2,8,2
159,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,12,12,12
158,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,8,8,8
157,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,7,7,7
156,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,12,12,12
155,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.1;-0.3,19,19,19
154,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.1;-0.3,7,7,7
153,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,3,3,3
152,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,10,10,10
151,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,11,16,11
150,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,6,7,6
149,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,3,3,3
148,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,15,20,15
147,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.1;-0.3,8,8,8
