rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
142,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
141,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
140,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
139,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
138,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
137,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
136,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,19,19,19
135,197,243,graphml/Cogentco.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
134,197,243,graphml/Cogentco.graphml,1,,29,clustered,0.8;-0.3,-1,-1,-1
133,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
132,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
131,197,243,graphml/Cogentco.graphml,2,,24,clustered,0.8;-0.3,9,-1,9
130,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,21,-1,21
129,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,11,11,11
128,197,243,graphml/Cogentco.graphml,2,,18,clustered,0.8;-0.3,-1,-1,-1
127,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
126,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
125,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
124,197,243,graphml/Cogentco.graphml,2,,13,clustered,0.8;-0.3,-1,-1,-1
123,197,243,graphml/Cogentco.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
122,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
121,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
120,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
119,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,19,22,19
118,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
117,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
116,197,243,graphml/Cogentco.graphml,2,,12,clustered,0.8;-0.3,28,-1,-1
115,197,243,graphml/Cogentco.graphml,2,,15,clustered,0.8;-0.3,57,46,-1
114,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
113,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
112,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.8;-0.3,-1,-1,-1
111,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
110,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.8;-0.3,-1,-1,-1
109,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
108,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
107,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
106,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
105,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
104,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
103,197,243,graphml/Cogentco.graphml,2,,11,clustered,0.8;-0.3,-1,-1,-1
102,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
101,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
100,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,13,13,13
99,197,243,graphml/Cogentco.graphml,2,,11,clustered,0.8;-0.3,17,11,17
98,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
97,197,243,graphml/Cogentco.graphml,2,,12,clustered,0.8;-0.3,-1,-1,-1
96,197,243,graphml/Cogentco.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
95,197,243,graphml/Cogentco.graphml,3,,11,clustered,0.8;-0.3,-1,-1,-1
94,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
93,197,243,graphml/Cogentco.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
92,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
91,197,243,graphml/Cogentco.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
90,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
89,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,21,49,-1
88,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
87,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,12,12,12
86,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
85,197,243,graphml/Cogentco.graphml,2,,15,clustered,0.8;-0.3,-1,-1,-1
84,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
83,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
82,197,243,graphml/Cogentco.graphml,3,,7,clustered,0.8;-0.3,77,80,77
81,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
80,197,243,graphml/Cogentco.graphml,1,,9,clustered,0.8;-0.3,-1,-1,-1
79,197,243,graphml/Cogentco.graphml,2,,12,clustered,0.8;-0.3,-1,-1,-1
78,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
77,197,243,graphml/Cogentco.graphml,2,,14,clustered,0.8;-0.3,-1,-1,-1
76,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
75,197,243,graphml/Cogentco.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
74,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
73,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
72,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
71,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,-1,-1,-1
70,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
69,197,243,graphml/Cogentco.graphml,3,,8,clustered,0.8;-0.3,-1,-1,-1
68,197,243,graphml/Cogentco.graphml,1,,9,clustered,0.8;-0.3,-1,-1,-1
67,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
66,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
65,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
64,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
63,197,243,graphml/Cogentco.graphml,2,,11,clustered,0.8;-0.3,-1,-1,-1
62,197,243,graphml/Cogentco.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
61,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
60,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
59,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
58,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
57,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,10,10,10
56,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
55,197,243,graphml/Cogentco.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
54,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
53,197,243,graphml/Cogentco.graphml,1,,7,clustered,0.8;-0.3,-1,-1,-1
52,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
51,197,243,graphml/Cogentco.graphml,2,,16,clustered,0.8;-0.3,-1,-1,-1
50,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
49,197,243,graphml/Cogentco.graphml,2,,13,clustered,0.8;-0.3,-1,-1,-1
