rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,11,11,11
199,197,243,graphml/Cogentco.graphml,3,,3,clustered,0.5;-0.3,8,8,8
198,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
197,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,5,5,5
196,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
195,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,6,8,6
194,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,8,13,8
193,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.5;-0.3,49,82,21
192,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,5,5,5
191,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,36,72,36
190,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,13,13
189,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.5;-0.3,11,11,11
188,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.5;-0.3,6,6,6
187,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,18,18,18
186,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,22,22,22
185,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,19,19,19
184,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,42,19,24
183,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.5;-0.3,47,24,21
182,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,13,13
181,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,20,20,20
180,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,9,9,9
179,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,16,10,16
178,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
177,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
176,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
175,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,4,11,4
174,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.5;-0.3,23,23,35
173,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,10,10,10
172,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.5;-0.3,7,7,7
171,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,28,33,28
170,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.5;-0.3,6,6,6
169,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,25,25,25
168,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,7,7,7
167,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,7,7,7
166,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,7,7,7
165,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,12,12,12
164,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,2,2,2
163,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,11,11,11
162,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.5;-0.3,7,7,7
161,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,10,10,10
160,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.5;-0.3,15,18,23
159,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,22,15,22
158,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.5;-0.3,3,3,3
157,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
156,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,8,53,8
155,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,3,3,3
154,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
153,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
152,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.5;-0.3,6,6,6
151,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
150,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
149,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,6,6,6
148,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,11,11,11
147,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,20,20,20
146,197,243,graphml/Cogentco.graphml,3,,2,clustered,0.5;-0.3,5,5,5
145,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,26,13
144,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,19,15,15
143,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.5;-0.3,25,23,25
142,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,21,21,21
141,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,13,13
140,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
139,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,29,48,22
138,197,243,graphml/Cogentco.graphml,3,,9,clustered,0.5;-0.3,4,4,4
137,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,14,25,14
136,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
135,197,243,graphml/Cogentco.graphml,3,,5,clustered,0.5;-0.3,5,5,5
134,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,25,17,25
133,197,243,graphml/Cogentco.graphml,3,,3,clustered,0.5;-0.3,11,46,11
132,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.5;-0.3,15,15,15
131,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,4,4,4
130,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,15,18,15
129,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
128,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,7,8,7
127,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,24,42,24
126,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,23,42,23
125,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
124,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,19,19,19
123,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,17,17,17
122,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,13,13,13
121,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.5;-0.3,34,29,-1
120,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,9,11,9
119,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,11,-1,11
118,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,22,74,22
117,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,17,15,17
116,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,15,38,15
115,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.5;-0.3,-1,-1,-1
114,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,4,4,4
113,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,22,14,22
112,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,16,16,16
111,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,27,27,-1
110,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.5;-0.3,15,15,15
109,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
108,197,243,graphml/Cogentco.graphml,3,,4,clustered,0.5;-0.3,6,30,6
107,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,7,7,7
106,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
105,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,6,6,6
104,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,5,6,5
103,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,18,18,18
102,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
101,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,21,27,21
100,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,7,7,7
99,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.5;-0.3,7,7,7
98,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,19,19,19
97,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,18,16,18
96,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,29,63,29
95,197,243,graphml/Cogentco.graphml,3,,4,clustered,0.5;-0.3,11,14,11
94,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,13,13,13
93,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,19,14,19
92,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,7,7,7
91,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,13,13
90,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,27,17,27
89,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,6,6,6
88,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,16,18,16
87,197,243,graphml/Cogentco.graphml,3,,2,clustered,0.5;-0.3,7,7,7
86,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,36,-1,-1
85,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
84,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
83,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,10,10,10
82,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
81,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,15,30,15
80,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
79,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,14,59,14
78,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,16,16,16
77,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
76,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,7,7,7
75,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,6,6,6
74,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,13,13,13
73,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,15,66,15
72,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,11,22,11
71,197,243,graphml/Cogentco.graphml,3,,4,clustered,0.5;-0.3,14,38,14
70,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,8,11,8
69,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,21,58,-1
68,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.5;-0.3,25,13,25
67,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.5;-0.3,7,7,7
66,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.5;-0.3,9,9,9
65,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.5;-0.3,8,20,8
64,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,9,12,9
63,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,7,7,7
62,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
61,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,15,24,15
60,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,13,13,13
59,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.5;-0.3,6,6,6
58,197,243,graphml/Cogentco.graphml,2,,2,clustered,0.5;-0.3,20,24,20
57,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.5;-0.3,11,11,11
56,197,243,graphml/Cogentco.graphml,3,,3,clustered,0.5;-0.3,10,22,10
55,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,6,6,6
54,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.5;-0.3,6,6,6
