rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,16,20,16
199,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,7,8,7
198,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,4,7,4
197,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,3,3,3
196,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.2;-0.3,14,14,14
195,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,4,4,4
194,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,15,15,15
193,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,4,7,4
192,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,12,12,12
191,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,4,4,4
190,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,8,8,8
189,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,8,8,8
188,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,21,21,21
187,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,8,9,8
186,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,8,12,8
185,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,4,4,4
184,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,7,7,7
183,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,5,5,5
182,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,13,13,13
181,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,23,26,23
180,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,18,18,18
179,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,15,16,15
178,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,22,22,22
177,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,15,15,15
176,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,7,7,7
175,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,9,9,9
174,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,5,6,5
173,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,7,7,7
172,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,10,10,10
171,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,7,8,7
170,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,17,17,17
169,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,16,16,16
168,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,7,7,7
167,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,13,13,13
166,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,18,18,18
165,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,17,25,17
164,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,6,6,6
163,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,15,16,15
162,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,2,2,2
161,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,9,9,9
160,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,5,5,5
159,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,6,6,6
158,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,16,16,16
157,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,9,9,9
156,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,23,23,23
155,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,11,11,11
154,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,6,6,6
153,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.2;-0.3,8,25,8
152,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,15,15,15
151,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,8,8,8
150,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,16,18,16
149,197,243,graphml/Cogentco.graphml,3,,1,clustered,0.2;-0.3,6,11,6
148,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,5,5,5
147,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,8,11,8
146,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,16,16,16
145,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,21,21,21
144,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,9,9,9
143,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,12,12,12
142,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,13,13,13
141,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,12,12,12
140,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,5,5,5
139,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,10,10,10
138,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,23,23,23
137,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,11,11,11
136,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,4,4,4
135,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,22,22,22
134,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,2,2,2
133,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,10,10,10
132,197,243,graphml/Cogentco.graphml,3,,0,clustered,0.2;-0.3,11,11,11
131,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,17,17,17
130,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,12,14,12
129,197,243,graphml/Cogentco.graphml,2,,1,clustered,0.2;-0.3,4,4,4
128,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,10,10,10
127,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,7,7,7
126,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,17,17,17
125,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,14,15,14
124,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,16,21,16
123,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,3,3,3
122,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,9,11,9
121,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,13,13,13
120,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,3,3,3
119,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,14,14,14
118,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,6,6,6
117,197,243,graphml/Cogentco.graphml,1,,0,clustered,0.2;-0.3,4,4,4
116,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,10,10,10
115,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,4,4,4
114,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,6,6,6
113,197,243,graphml/Cogentco.graphml,2,,0,clustered,0.2;-0.3,9,9,9
