rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,27,35,27
199,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,9,10,9
198,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,4,4,4
197,197,243,graphml/Cogentco.graphml,3,13,26,random,-1,29,-1,29
196,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,20,20,20
195,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,14,15,14
194,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,18,51,18
193,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,7,7,7
192,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,7,7,7
191,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,-1,-1,-1
190,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,8,8,8
189,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,9,9,9
188,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,18,30,18
187,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,4,4,4
186,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,24,24,24
185,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,10,10,10
184,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,9,9,9
183,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,11,11,11
182,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,4,4,4
181,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,12,12,12
180,197,243,graphml/Cogentco.graphml,3,13,26,random,-1,-1,-1,-1
179,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,-1,-1,-1
178,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,16,16,16
177,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,-1,-1,-1
176,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,18,-1,18
175,197,243,graphml/Cogentco.graphml,1,13,0,random,-1,10,10,10
174,197,243,graphml/Cogentco.graphml,2,13,13,random,-1,23,44,23
