rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,10,10,10
199,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,9,10,9
198,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,19,19,19
197,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,32,38,32
196,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,8,8,8
195,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,7,7,7
194,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,56,-1,56
193,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,11,-1,11
192,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,13,13,13
191,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,19,-1,15
190,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,13,13,13
189,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,6,6,6
188,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,4,4,4
187,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,10,10,10
186,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,7,7,7
185,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,7,7,7
184,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,8,7,8
183,197,243,graphml/Cogentco.graphml,3,20,40,random,-1,-1,-1,-1
182,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,-1,-1,-1
181,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,11,11,11
180,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,8,8,8
179,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,13,16,13
178,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,-1,-1,-1
177,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,7,7,7
176,197,243,graphml/Cogentco.graphml,1,20,0,random,-1,14,14,14
175,197,243,graphml/Cogentco.graphml,2,20,20,random,-1,8,14,8
