rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
64,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,11,11,11
63,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,23,23,23
62,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,12,12,12
61,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,13,13,13
60,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,17,17,17
59,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,-1,-1,-1
58,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,17,-1,16
57,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,7,7,7
56,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,3,6,3
55,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
54,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,5,6,5
53,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,11,11,11
52,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,14,14,14
51,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,4,4,4
50,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,9,9,9
49,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
48,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,37,-1,-1
47,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,20,-1,20
46,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
45,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,13,13,13
44,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,8,8,8
43,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,11,11,11
42,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,16,14,16
41,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,4,4,4
40,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,6,6,6
39,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,18,30,18
38,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,12,19,12
37,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,8,8,8
36,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
35,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
34,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
33,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,-1,-1,-1
32,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,18,18,18
31,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,16,17,16
30,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
29,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,12,12,12
28,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,13,13,13
27,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,13,13,13
26,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,5,5,5
25,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,2,2,2
24,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,13,13,13
