rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,11,13,11
199,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,12,12,12
198,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,18,18,18
197,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,2,2,2
196,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
195,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,11,11,11
194,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
193,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,6,6,6
192,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,18,-1,16
191,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,12,37,12
190,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,11,11,11
189,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,24,27,24
188,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,5,5,5
187,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,14,14,14
186,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
185,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
184,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
183,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,11,11,11
182,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,3,3,3
181,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,10,-1,10
180,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,39,-1,39
179,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
178,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,9,9,9
177,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
176,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,14,16,14
175,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
174,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,18,18,18
173,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,4,4,4
172,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,24,24,24
171,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,4,4,4
170,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,6,6,6
169,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,11,11,11
168,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
167,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,18,18,18
166,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,23,-1,23
165,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,16,16,16
164,197,243,graphml/Cogentco.graphml,3,25,50,random,-1,4,-1,4
163,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,18,18,18
162,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,78,-1,78
161,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,18,-1,18
160,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,8,-1,8
159,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
158,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,13,13,13
157,197,243,graphml/Cogentco.graphml,3,25,50,random,-1,-1,-1,-1
156,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
155,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
154,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,13,13,13
153,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,14,14,14
152,197,243,graphml/Cogentco.graphml,3,25,50,random,-1,3,3,3
151,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,6,6,6
150,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,-1,-1,-1
149,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,17,17,17
148,197,243,graphml/Cogentco.graphml,1,25,0,random,-1,17,17,17
147,197,243,graphml/Cogentco.graphml,3,25,50,random,-1,2,2,2
146,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,15,-1,15
145,197,243,graphml/Cogentco.graphml,2,25,25,random,-1,4,4,4
